Semester,Final Score,Final Grade
Fall 2021,97.66,A
Fall 2021,92.63,A
Fall 2021,91.66,AB
Fall 2021,91.88,AB
Fall 2021,95.58,A
Fall 2021,93.8,A
Fall 2021,92.15,A
Fall 2021,95.06,A
Fall 2021,83.66,B
Fall 2021,98.12,A
Fall 2021,95.84,A
Fall 2021,86.09,AB
Fall 2021,96.74,A
Fall 2021,95.08,A
Fall 2021,91.17,AB
Fall 2021,97.52,A
Fall 2021,92.75,A
Fall 2021,94.48,A
Fall 2021,95.73,A
Fall 2021,96.25,A
Fall 2021,95.61,A
Fall 2021,95.3,A
Fall 2021,87.11,AB
Fall 2021,90.8,AB
Fall 2021,96.45,A
Fall 2021,94.83,A
Fall 2021,94.57,A
Fall 2021,91.35,AB
Fall 2021,94.79,A
Fall 2021,94.71,A
Fall 2021,97.27,A
Fall 2021,93.37,A
Fall 2021,91.7,AB
Fall 2021,92.23,A
Fall 2021,93.64,A
Fall 2021,98.34,A
Fall 2021,91.9,AB
Fall 2021,98.29,A
Fall 2021,96.45,A
Fall 2021,97.42,A
Fall 2021,95.06,A
Fall 2021,93.5,A
Fall 2021,92.46,A
Fall 2021,98.83,A
Fall 2021,95.55,A
Fall 2021,88.46,AB
Fall 2021,89.95,AB
Fall 2021,95.95,A
Fall 2021,89.95,AB
Fall 2021,91.29,AB
Fall 2021,91.41,AB
Fall 2021,93.03,A
Fall 2021,94.89,A
Fall 2021,95.13,A
Fall 2021,91.22,AB
Fall 2021,95.9,A
Fall 2021,90.71,AB
Fall 2021,94.63,A
Fall 2021,92.51,A
Fall 2021,96.69,A
Fall 2021,88.51,AB
Fall 2021,91.61,AB
Fall 2021,94.89,A
Fall 2021,91.39,AB
Fall 2021,94.01,A
Fall 2021,91.44,AB
Fall 2021,91.78,AB
Fall 2021,85.16,B
Fall 2021,92.75,A
Fall 2021,90.64,AB
Fall 2021,85.1,B
Fall 2021,90.25,AB
Fall 2021,87.56,AB
Fall 2021,83.98,B
Fall 2021,94.26,A
Fall 2021,93.88,A
Fall 2021,93.85,A
Fall 2021,96.6,A
Fall 2021,88.91,AB
Fall 2021,90.4,AB
Fall 2021,93.42,A
Fall 2021,80.43,B
Fall 2021,87.9,AB
Fall 2021,98.18,A
Fall 2021,89.7,AB
Fall 2021,92.79,A
Fall 2021,96.15,A
Fall 2021,92.34,A
Fall 2021,95.67,A
Fall 2021,90.16,AB
Fall 2021,90.59,AB
Fall 2021,91.38,AB
Fall 2021,94.26,A
Fall 2021,85.1,B
Fall 2021,87.94,AB
Fall 2021,92.27,A
Fall 2021,92.34,A
Fall 2021,92.21,A
Fall 2021,89.49,AB
Fall 2021,91.52,AB
Fall 2021,96.61,A
Fall 2021,89.34,AB
Fall 2021,88.78,AB
Fall 2021,91.06,AB
Fall 2021,90.67,AB
Fall 2021,99.88,A
Fall 2021,92.3,A
Fall 2021,90.59,AB
Fall 2021,90.55,AB
Fall 2021,89.17,AB
Fall 2021,89.8,AB
Fall 2021,90.89,AB
Fall 2021,93.03,A
Fall 2021,94.26,A
Fall 2021,88.13,AB
Fall 2021,99.16,A
Fall 2021,78.82,BC
Fall 2021,92.7,A
Fall 2021,93.75,A
Fall 2021,92.69,A
Fall 2021,85.99,B
Fall 2021,84.36,B
Fall 2021,98.75,A
Fall 2021,74.95,BC
Fall 2021,91.23,AB
Fall 2021,91.09,AB
Fall 2021,93.13,A
Fall 2021,92.16,A
Fall 2021,91.06,AB
Fall 2021,91.04,AB
Fall 2021,88.67,AB
Fall 2021,96.9,A
Fall 2021,92.17,A
Fall 2021,90.75,AB
Fall 2021,93.34,A
Fall 2021,94.79,A
Fall 2021,91.52,AB
Fall 2021,98.84,A
Fall 2021,93.02,A
Fall 2021,95.25,A
